Epoch 62: train_loss=0.2542 train_action=0.0000 train_kl=0.0000 eval_action=0.2711 time=38s
Epoch 63: train_loss=0.2413 train_action=0.0000 train_kl=0.0000 eval_action=0.2712 time=37s
Epoch 64: train_loss=0.2411 train_action=0.0000 train_kl=0.0000 eval_action=0.2709 time=38s
Epoch 65: train_loss=0.2410 train_action=0.0000 train_kl=0.0000 eval_action=0.2708 time=38s
Epoch 66: train_loss=0.2411 train_action=0.0000 train_kl=0.0000 eval_action=0.2705 time=39s
Epoch 67: train_loss=0.2410 train_action=0.0000 train_kl=0.0000 eval_action=0.2708 time=38s
Epoch 68: train_loss=0.2408 train_action=0.0000 train_kl=0.0000 eval_action=0.2707 time=39s
Epoch 69: train_loss=0.2407 train_action=0.0000 train_kl=0.0000 eval_action=0.2710 time=40s
Epoch 70: train_loss=0.2408 train_action=0.0000 train_kl=0.0000 eval_action=0.2709 time=40s
Epoch 71: train_loss=0.2407 train_action=0.0000 train_kl=0.0000 eval_action=0.2708 time=40s
Epoch 72: train_loss=0.2408 train_action=0.0000 train_kl=0.0000 eval_action=0.2707 time=40s
Epoch 73: train_loss=0.2407 train_action=0.0000 train_kl=0.0000 eval_action=0.2705 time=40s
Epoch 74: train_loss=0.2406 train_action=0.0000 train_kl=0.0000 eval_action=0.2705 time=38s
Epoch 75: train_loss=0.2407 train_action=0.0000 train_kl=0.0000 eval_action=0.2708 time=39s
Epoch 76: train_loss=0.2407 train_action=0.0000 train_kl=0.0000 eval_action=0.2704 time=40s
Epoch 77: train_loss=0.2405 train_action=0.0000 train_kl=0.0000 eval_action=0.2704 time=40s
Epoch 78: train_loss=0.2406 train_action=0.0000 train_kl=0.0000 eval_action=0.2703 time=40s
Epoch 79: train_loss=0.2405 train_action=0.0000 train_kl=0.0000 eval_action=0.2704 time=40s
Epoch 80: train_loss=0.2405 train_action=0.0000 train_kl=0.0000 eval_action=0.2704 time=40s
Epoch 81: train_loss=0.2405 train_action=0.0000 train_kl=0.0000 eval_action=0.2704 time=40s
Epoch 82: train_loss=0.2405 train_action=0.0000 train_kl=0.0000 eval_action=0.2705 time=41s
Epoch 83: train_loss=0.2404 train_action=0.0000 train_kl=0.0000 eval_action=0.2704 time=39s
Epoch 84: train_loss=0.2405 train_action=0.0000 train_kl=0.0000 eval_action=0.2701 time=40s
Epoch 85: train_loss=0.2404 train_action=0.0000 train_kl=0.0000 eval_action=0.2703 time=41s
Epoch 86: train_loss=0.2405 train_action=0.0000 train_kl=0.0000 eval_action=0.2704 time=40s
Epoch 87: train_loss=0.2405 train_action=0.0000 train_kl=0.0000 eval_action=0.2702 time=40s
Epoch 88: train_loss=0.2404 train_action=0.0000 train_kl=0.0000 eval_action=0.2701 time=41s
Epoch 89: train_loss=0.2404 train_action=0.0000 train_kl=0.0000 eval_action=0.2702 time=39s
Epoch 90: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2701 time=43s
Epoch 91: train_loss=0.2404 train_action=0.0000 train_kl=0.0000 eval_action=0.2702 time=46s
Epoch 92: train_loss=0.2406 train_action=0.0000 train_kl=0.0000 eval_action=0.2702 time=45s
Epoch 93: train_loss=0.2404 train_action=0.0000 train_kl=0.0000 eval_action=0.2701 time=47s
Epoch 94: train_loss=0.2404 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=46s
Epoch 95: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2700 time=46s
Epoch 96: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2701 time=46s
Epoch 97: train_loss=0.2405 train_action=0.0000 train_kl=0.0000 eval_action=0.2700 time=46s
Epoch 98: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2700 time=46s
Epoch 99: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=46s
Epoch 100: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2700 time=45s
Epoch 101: train_loss=0.2404 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=43s
Epoch 102: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2700 time=40s
Epoch 103: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2700 time=40s
Epoch 104: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=41s
Epoch 105: train_loss=0.2404 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=40s
Epoch 106: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=41s
Epoch 107: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=40s
Epoch 108: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=40s
Epoch 109: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=41s
Epoch 110: train_loss=0.2404 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=40s
Epoch 111: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=40s
Epoch 112: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2700 time=41s
Epoch 113: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=42s
Epoch 114: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=45s
Epoch 115: train_loss=0.2414 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=45s
Epoch 116: train_loss=0.2405 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=44s
Epoch 117: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=46s
Epoch 118: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=45s
Epoch 119: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2700 time=45s
Epoch 120: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=47s
Epoch 121: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=45s
Epoch 122: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=47s
Epoch 123: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=43s
Epoch 124: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=44s
Epoch 125: train_loss=0.2403 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=43s
Epoch 126: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=43s
Epoch 127: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=44s
Epoch 128: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=48s
Epoch 129: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=50s
Epoch 130: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=49s
Epoch 131: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=52s
Epoch 132: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=49s
Epoch 133: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2696 time=50s
Epoch 134: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=50s
Epoch 135: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=49s
Epoch 136: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=51s
Epoch 137: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=49s
Epoch 138: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=51s
Epoch 139: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=50s
Epoch 140: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=49s
Epoch 141: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=51s
Epoch 142: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2698 time=51s
Epoch 143: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=51s
Epoch 144: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=50s
Epoch 145: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=52s
Epoch 146: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=50s
Epoch 147: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=50s
Epoch 148: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=51s
Epoch 149: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2699 time=50s
Epoch 150: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=52s
Epoch 151: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=51s
Epoch 152: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=49s
Epoch 153: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=51s
Epoch 154: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=51s
Epoch 155: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2696 time=51s
Epoch 156: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=51s
Epoch 157: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2696 time=51s
Epoch 158: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2696 time=49s
Epoch 159: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=51s
Epoch 160: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=51s
Epoch 161: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2696 time=51s
Epoch 162: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2696 time=50s
Epoch 163: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=52s
Epoch 164: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=50s
Epoch 165: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=52s
Epoch 166: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=52s
Epoch 167: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2697 time=52s
Epoch 168: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2696 time=53s
Epoch 169: train_loss=0.2402 train_action=0.0000 train_kl=0.0000 eval_action=0.2696 time=50s
Epoch 170: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2696 time=50s
Epoch 171: train_loss=0.2401 train_action=0.0000 train_kl=0.0000 eval_action=0.2696 time=52s
